Pertanyaan,Jawaban
 Pada tanggal 22 Juni 2009 telah disahkan Undang-undang Nomor 22 tahun 2009 tentang Lalu Lintas dan Angkutan Jalan. Apa yang dimaksud dengan Lalu Lintas dan Angkutan Jalan menurut undang-undang nomor 22 tahun 2009 tersebut ?, Lalu lintas dan Angkutan Jalan adalah satu kesatuan system yang terdiri atas Lalu Lintas 
 Lalu Lintas dan Angkutan Jalan diselenggarakan dengan memperhatikan asas transparan Disamping itu masih ada 5 asas lainnya, 1. asas manfaat 2. asas efisien dan aktif 3. asas seimbang 4. asas terpadu dan 5. asas mandiri 
 Dalam penyelenggaraan Lalu Lintas dan Angkutan Jalan terdapat tiga tujuan Sebutkan dua tujuan tujuan penyelenggaraan lalu lintas dan angkutan jalan lainnya?, a. terwujudnya etika berlalu lintas dan budaya bangsa dan b. terwujudnya penegakan hukum dan kepastian hukum bagi masyarakat. 
 Undang-Undang lalu lintas dan angkutan jalan berlaku untuk membina dan menyelenggarakan Lalu Lintas dan Angkutan Jalan yang aman Disamping itu masih ada kegiatan lainnya, Kegiatan yang berkaitan dengan registrasi dan identifikasi Kendaraan Bermotor dan Pengemudi 
 Negara bertanggung jawab atas Lalu Lintas dan Angkutan Jalan dan pembinaannya dilaksanakan oleh Pemerintah. Pembinaan Lalu Lintas dan Angkutan Jalan yang dilakukan Pemerintah meliputi apa saja ?, a. Perencanaan b. Pengaturan c. Pengendalian  d. Pengawasan. 
 Penyelenggaraan Lalu Lintas dan Angkutan Jalan dilaksanakan oleh instansi pembina sesuai dengan tugas pokok dan fungsinya. Sebutkan di bidang apa sajakah urusan yang ditangani oleh pemerintah dalam hal penyelenggaraan lalu lintas dan angkutan jalan ?, a. Di bidang jalan b. Di bidang sarana dan prasarana Lalu Lintas dan Angkutan Jalan c. Di bidang pengembangan industri Lalu lintas dan Angkutan Jalan d. Di bidang pengembangan teknologi Lalu lintas dan Angkutan jalan e. Di bidang Registrasi dan Identifikasi Kendaraan Bermotor dan pengemudi 
 Penyelenggaraan Lalu Lintas dan Angkutan Jalan dalam kegiatan pelayanan langsung kepada masyarakat dilakukan oleh Pemerintah Sedangkan untuk urusan pemerintahan di bidang sarana dan Prasarana Lalu Lintas dan Angkutan Jalan dilaksanakan oleh siapa?,  Kementerian negara yang bertanggung jawab di bidang sarana dan Prasarana Lalu Lintas dan Angkutan Jalan. 
 Dalam melaksanakan pembinaan Lalu Lintas dan Angkutan Jalan Urusan pemerintah provinsi dalam melakukan pembinaan Lalu Lintas dan angkutan jalan meliputi apa saja?," a. penetapan sasaran dan arah kebijakan sistem Lalu Lintas dan Angkutan Jalan provinsi dan kabupaten/kota yang jaringannya melampaui batas wilayah kabupaten/kota b. pemberian bimbingan, pelatihan, sertifikasi, dan izin kepada perusahaan angkutan umum di provinsi dan c. pengawasan terhadap pelaksanaan Lalu Lintas dan Angkutan Jalan provinsi. "
 Urusan pemerintahan di bidang pengembangan industri Lalu Lintas dan Angkutan Jalan dilaksanakan oleh kementerian negara yang bertanggung jawab di bidang industri sedangkan urusan pemerintahan di bidang pengembangan teknologi Lalu Lintas dan Angkutan Jalan dilaksanakan oleh kementerian negara yang bertanggung jawab di bidang pengembangan teknologi. Untuk urusan pemerintahan di bidang Registrasi dan Identifikasi Kendaraan Bermotor dan Pengemudi, Kepolisian Negara Republik Indonesia. 
" Penyelenggaraan di bidang Registrasi dan Identifikasi Kendaraan Bermotor dan Pengemudi a. pengujian dan penerbitan Surat Izin Mengemudi Kendaraan Bermotor  b. pelaksanaan registrasi dan identifikasi Kendaraan Bermotor c. pengumpulan, pemantauan, pengolahan, dan penyajian data Lalu Lintas dan Angkutan Jalan d. pengelolaan pusat pengendalian Sistem Informasi dan Komunikasi Lalu Lintas dan Angkutan Jalan e. pengaturan, penjagaan, pengawalan, dan patroli Lalu Lintas f. penegakan	hukum	yang	meliputi	penindakan	pelanggaran	dan	penanganan Kecelakaan Lalu Lintas. Disamping itu masih terdapat 3 hal lainnya yang menjadi tugas Kepolisian Negera Republik Indonesia", a. pendidikan berlalu lintas b. pelaksanaan Manajemen dan Rekayasa Lalu Lintas dan c. pelaksanaan manajemen operasional Lalu Lintas. 
 Penyelenggaraan Lalu Lintas dan Angkutan Jalan dilakukan secara terkoordinasi oleh forum Lalu Lintas dan Angkutan Jalan. Sebutkan tugas Forum Lalu Lintas dan Angkutan Jalan tersebut !, Melakukan koordinasi antarinstansi penyelenggara yang memerlukan keterpaduan dalam merencanakan dan menyelesaikan masalah Lalu Lintas dan Angkutan Jalan. 
 Untuk mewujudkan Lalu Lintas dan Angkutan Jalan yang terpadu perlu dilakukan pengembangan Jaringan Lalu Lintas dan Angkutan Jalan untuk menghubungkan semua wilayah di daratanyang berpedoman pada Rencana Induk Jaringan Lalu Lintas dan Angkutan Jalan sesuai dengan kebutuhan. Rencana Induk Jaringan Lalu Lintas dan Angkutan Jalan tersebut terdiri atas apa saja?, d. Rencana Induk Jaringan Lalu Lintas dan Angkutan Jalan Nasional e. Rencana Induk Jaringan Lalu Lintas dan Angkutan Jalan Provinsi dan f. Rencana Induk Jaringan Lalu Lintas dan Angkutan Jalan Kabupaten/Kota. 
 Rencana Induk Jaringan Lalu Lintas dan Angkutan Jalan Nasional disusun secara berkala dengan mempertimbangkan kebutuhan transportasi dan ruang kegiatan berskala nasional dan dalam proses penyusunan dan penetapan Rencana Induk Jaringan Lalu Lintas dan Angkutan Jalan Nasional terebut harus memperhatikan Rencana Tata Ruang Wilayah Nasional. Apa saja yang terdapat dalam Rencana Induk Jaringan Lalu Lintas dan Angkutan Jalan Nasional tersebut ?, a. prakiraan perpindahan orang dan/atau barang menurut asal tujuan perjalanan lingkup nasional b. arah dan kebijakan peranan Lalu Lintas dan Angkutan Jalan nasional dalam keseluruhan moda transportasi c. rencana lokasi dan kebutuhan Simpul nasional dan d. rencana kebutuhan Ruang Lalu Lintas nasional. 
 Rencana Induk Jaringan Lalu Lintas dan Angkutan Jalan Provinsi memuat: a. prakiraan perpindahan orang dan/atau barang menurut asal tujuan perjalanan lingkup provinsi b. arah dan kebijakan peranan Lalu Lintas dan Angkutan Jalan provinsi dalam keseluruhan moda transportasi c. rencana lokasi dan kebutuhan Simpul provinsi dan d. rencana kebutuhan Ruang Lalu Lintas provinsi. Sedangkan Rencana Induk Jaringan Lalu Lintas dan Angkutan Jalan Kabupaten/Kota memuat apa saja? , a. prakiraan perpindahan orang dan/atau barang menurut asal tujuan perjalanan lingkup kabupaten/kota b. arah dan kebijakan peranan Lalu Lintas dan Angkutan Jalan kabupaten/kota dalam keseluruhan moda transportasi c. rencana lokasi dan kebutuhan Simpul kabupaten/kota dan d. rencana kebutuhan Ruang Lalu Lintas kabupaten/kota. 
 Menurut UU No. 22 Tahun 2009 Jalan dikelompokkan dalam beberapa kelas. Pengelompokan jalan tersebut dilakukan dengan pertimbangan apa saja?, a. Fungsi dan intensitas Lalu lintas guna kepentingan pengaturan penggunaan jalan dan kelancaran lalu lintas dan angkutan jalan dan b. Daya dukung untuk menerima muatan sumbu terberat dan / dimensi Kendaraan bermotor. 
 Pengelompokkan Jalan menurut Kelas jalan dibagi dalam 4 kelompok. Sebutkan keempat kelompok jalan yang dimaksud?, Jalan kelas I 
" Penetapan kelas jalan pada setiap ruas jalan dilakukan oleh: a. Pemerintah, untuk jalan nasional b. pemerintah provinsi, untuk jalan provinsi c. pemerintah kabupaten, untuk jalan kabupaten atau d. pemerintah kota Penetapan kelas jalan tersebut dinyatakan dengan apa?", Rambu Lalu Lintas. 
 Setiap Jalan memiliki batas kecepatan paling tinggi yang ditetapkan secara nasional. Batas kecepatan paling tinggi tersebut ditentukan berdasarkan apa saja?, Kawasan permukiman 
 Atas pertimbangan keselamatan atau pertimbangan khusus lainnya Sementara itu ,  Batas absolute 60 (enam puluh) kilometer per jam dalam kondisi arus bebas.  
 Jalan yang dioperasikan harus memenuhi persyaratan laik fungsi Jalan secara teknis dan administratif. Apakah penyelenggara Jalan wajib melaksanakan uji kelaikan fungsi Jalan sebelum pengoperasian Jalan?, Ya 
 Penyelenggara Jalan wajib segera dan patut untuk memperbaiki Jalan yang rusak yang dapat mengakibatkan Kecelakaan Lalu Lintas. Dalam hal belum dapat dilakukan perbaikan Jalan yang rusak bagaimana?, Penyelenggara Jalan wajib memberi tanda atau rambu pada Jalan yang rusak untuk mencegah terjadinya Kecelakaan Lalu Lintas. 
 Setiap Jalan yang digunakan untuk Lalu Lintas umum wajib dilengkapi dengan perlengkapan Jalan berupa: a. Rambu Lalu Lintas b. Marka Jalan c. Alat Pemberi Isyarat Lalu Lintas d. alat penerangan Jalan e. alat pengendali dan pengaman Pengguna Jalan f. alat pengawasan dan pengamanan Jalan Disamping itu setiap jalan yang digunakan untuk lalu lintas umum juga wajib dilengkapi fasilitas apa saja?," a. fasilitas untuk sepeda, Pejalan Kaki, dan penyandang cacat dan b. fasilitas pendukung kegiatan Lalu Lintas dan Angkutan Jalan yang berada di Jalan dan di luar badan Jalan. "
 Penyediaan perlengkapan Jalan diselenggarakan oleh: a. Pemerintah untuk jalan nasional b. pemerintah provinsi untuk jalan provinsi c. pemerintah kabupaten/kota untuk jalan kabupaten/kota dan jalan desa. Untuk jalan tol, Badan usaha jalan tol. 
 Untuk mendukung pelayanan Lalu Lintas dan Angkutan Jalan yang aman Dana Preservasi Jalan digunakan khusus untuk apa saja?, Untuk kegiatan pemeliharaan 
 Dalam pengelolaan Dana Preservasi Jalan harus dilaksanakan berdasarkan beberapa prinsip.  Sebutkan prinsip apa saja yang harus dilaksanakan ? ,  Prinsip berkelanjutan  
 Untuk menunjang kelancaran perpindahan orang dan/atau barang serta keterpaduan intramoda dan antarmoda di tempat tertentu Dan pembangunan sebuah terminal harus dilengkapi dengan syarat apa saja ? ,  Rancang bangun buku kerja rancang bangun rencana induk terminal analisis dampak Lalu Lintas dan  analisis dampak lingkungan.  
 Penentuan lokasi Terminal dilakukan dengan memperhatikan rencana kebutuhan Terminal yang merupakan bagian dari Rencana Induk Jaringan Lalu Lintas dan Angkutan Jalan. Dalam penetapan lokasi Terminal harus dilakukan dilakukan dengan memperhatikan apa saja?," a. tingkat aksesibilitas Pengguna Jasa angkutan b. kesesuaian lahan dengan Rencana Tata Ruang Wilayah Nasional, Rencana Tata Ruang Wilayah Provinsi, dan Rencana Tata Ruang Wilayah Kabupaten/Kota c. kesesuaian dengan rencana pengembangan dan/atau kinerja jaringan Jalan, jaringan trayek, dan jaringan lintas d. kesesuaian dengan rencana pengembangan dan/atau pusat kegiatan e. keserasian dan keseimbangan dengan kegiatan lain f. permintaan angkutan g. kelayakan teknis, finansial, dan ekonomi h. Keamanan dan Keselamatan Lalu Lintas dan Angkutan Jalan dan/atau i. kelestarian lingkungan hidup. "
 Setiap penyelenggara Terminal wajib memberikan pelayanan jasa Terminal sesuai dengan standar pelayanan yang ditetapkan. Apakah terhadap pelayanan jasa terminal tersebut dapat dikenakan retribusi?, Ya 
 Penyediaan fasilitas Parkir untuk umum hanya dapat diselenggarakan di luar Ruang Milik Jalan sesuai dengan izin yang diberikan. Dalam penetapan lokasi dan pembangunan fasilitas Parkir untuk umum dilakukan oleh Pemerintah Daerah dengan memperhatikan apa saja?, a. rencana umum tata ruang b. analisis dampak lalu lintas dan c. kemudahan bagi Pengguna Jasa. 
 Dalam penyelenggaraan Lalu Lintas dan Angkutan Jalan terdapat beberapa fasilitas pendukung yang harus disediakan oleh Pemerintah Fasilitas pendukung tersebut meliputi apa saja? ,  Ttrotoar  
 Kendaraan terdiri atas: a. Kendaraan Bermotor dan  b. Kendaraan Tidak Bermotor. Sebutkan jenis-jenis kendaraan bermotor?, a. sepeda motor b. mobil penumpang c. mobil bus d. mobil barang dan e. kendaraan khusus. 
 Setiap Kendaraan Bermotor yang dioperasikan di Jalan harus memenuhi persyaratan teknis dan laik jalan. Untuk persyaratan laik jalan, Emisi gas buang kebisingan suara efisiensi sistem rem utama efisiensi sistem rem parkir kincup roda depan suara klakson daya pancar dan arah sinar lampu utama radius putaakurasi alat penunjuk kecepatan kesesuaian kinerja roda dan kondisi ban dan kesesuaian daya mesin penggerak terhadap berat kendaraan. 
 Kendaraan Bermotor Uji berkala diwajibkan untuk jenis kendaraan apa saja?, Mobil penumpang umum 
 Setiap kendaraan bermotor yang dioperasikan di jalan wajib dilengkapi dengan perlengkapan kendaraan bermotor Untuk kendaraan beroda empat,  Sabuk keselamatan  
 Setiap Kendaraan Bermotor yang dioperasikan di Jalan dilarang memasang perlengkapan yang dapat mengganggu keselamatan berlalu lintas. Apa yang dimaksud dengan perlengkapan yang dapat mengganggu keselamatan berlalu lintas”?, Yang dimaksud dengan “perlengkapan yang dapat mengganggu keselamatan berlalu lintas” adalah pemasangan peralatan 
" Untuk kepentingan tertentu, kendaraan bermotor dapat dilengkapi dengan lampu isyarat dan / atau sirene yang terdiri terdiri dari warna merah biru dan kuning. Lampu isyarat warna  merah atau biru serta sirene berfungsi sebagai tanda Kendaraan Bermotor yang memiliki hak utama. Sedangkan lampu isyarat kuning berfungsi sebagai apa? ",  Sebagai tanda peringatan kepada Pengguna Jalan lain.  
 Lampu isyarat warna biru dan sirene digunakan untuk Kendaraan Bermotor petugas Kepolisian Negara Republik Indonesia sedangkan lampu isyarat warna merah dan sirene digunakan untuk Kendaraan Bermotor tahanan Lampu isyarat warna kuning tanpa sirene digunakan untuk kendaraan apa saja?, untuk Kendaraan Bermotor patroli jalan tol 
 Pemerintah harus memberikan kemudahan berlalu lintas bagi pesepeda. Oleh karena itu, Fasilitas pendukung keamanan 
 Setiap Kendaraan Bermotor wajib diregistrasikan yang meliputi: a. registrasi Kendaraan Bermotor baru b. registrasi perubahan identitas Kendaraan Bermotor dan pemilik c. registrasi perpanjangan Kendaraan Bermotor dan atau d. registrasi pengesahan Kendaraan Bermotor. Adapun tujuan registrasi Kendaraan Bermotor bertujuan untuk apa saja?," a. tertib administrasi b. pengendalian dan pengawasan Kendaraan Bermotor yang dioperasikan di Indonesia c. mempermudah penyidikan pelanggaran dan/atau kejahatan d. perencanaan, operasional Manajemen dan Rekayasa Lalu Lintas dan Angkutan Jalan dan e. perencanaan pembangunan nasional. "
 Registrasi Kendaraan Bermotor dilaksanakan oleh Kepolisian Negara Republik Indonesia melalui sistem manajemen registrasi Kendaraan Bermotor., forensik kepolisian. 
 Registrasi Kendaraan Bermotor baru meliputi kegiatan: a. registrasi dan identifikasi Kendaraan Bermotor dan pemiliknya b. penerbitan Buku Pemilik Kendaraan Bermotor dan c. penerbitan Surat Tanda Nomor Kendaraan Bermotor dan Tanda Nomor Kendaraan Bermotor. Sebagai bukti bahwa Kendaraan Bermotor telah diregistrasi,  Buku Pemilik Kendaraan Bermotor 
 Dalam pelaksanaan registrasi kendaraan bermotor penyelenggaraannya dilakukan secara terintegrasi dan terkoordinasi dalam sistem Administrasi Manunggal satu atap. Sebutkan hal apa saja yang dapat dilaksanakan dalam sistem administrasi manunggal satu atap tersebut?,  Pembayaran	pajak	kendaraan	bermotor	dan	pembayaran	sumbangan	wajib	dana kecelakaanlalu lintas dan angkutan jalan.  
 Setiap Kendaraan Bermotor yang dioperasikan di Jalan wajib dilengkapi dengan Surat Tanda Nomor Kendaraan Bermotor dan Tanda Nomor Kendaraan Bermotor. Apa saja yang dimuat dalam Surat Tanda Nomor Kendaraan Bermotor tersebut?, Data Kendaraan Bermotor 
 Setiap Kendaraan Bermotor yang belum diregistrasi dapat dioperasikan di Jalan untuk kepentingan tertentu dengan dilengkapi Surat Tanda Coba Kendaraan Bermotor dan Tanda Coba Nomor Kendaraan Bermotor. Surat Tanda Coba Kendaraan Bermotor dan Tanda Coba Nomor Kendaraan Bermotor diberikan oleh Kepolisian Negara Republik Indonesia kepada siapa saja?, badan usaha di bidang penjualan 
 Pengesahan setiap Surat Tanda Nomor Kendaraan dan Tanda Nomor Kendaraan Bermotor harus diperpanjang jika sudah habis masa berlakunya. STNK dan Tanda Nomor Kendaraan Bermotor tersebut berlaku untuk jangka waktu berapa tahun ?,  5 (lima) tahun dan wajib diajukan permohonan perpanjangan.  
 Pemilik Kendaraan Bermotor wajib melaporkan kepada Kepolisian Negara Republik Indonesia jika: a. bukti registrasi hilang atau rusak b. spesifikasi teknis dan/atau fungsi Kendaraan Bermotor diubah c. kepemilikan Kendaraan Bermotor beralih atau d. Kendaraan Bermotor digunakan secara terus-menerus lebih dari 3 (tiga) bulan di luar wilayah Kendaraan diregistrasi. Apa yang dimaksud dengan “fungsi Kendaraan Bermotor diubah” ?,  Yang dimaksud dengan “fungsi Kendaraan Bermotor diubah” adalah terjadinya perubahan fungsi Kendaraan Bermotor Umum menjadi Kendaraan Bermotor perseorangan atau sebaliknya. 
 Setiap kendaraan bermotor diwajibkan untuk dilakukan uji berkala. Bagi yang melakukan pelanggaran dapat dikenai sanksi administratif. Sebutkan sanksi administratif apa saja yang dapat dikenakan terhadap pelanggaran tersebut?, a. Peringatan tertulis b. Pembayaran denda c. Pembekuan izin dan / atau d. Pencabutan izin. 
 Setiap orang yang mengemudikan kendaraan bermotor di jalan wajib memiliki Surat Izin mengemudi sesuai dengan jenis kendaraan bermotor yang dikemudikan. Surat Izin mMengemudi terdiri dari 2 (dua) jenis, a. SIM Perseorangan b. SIM Kendaraan Bermotor Umum 
 Untuk mendapatkan Surat Izin mengemudi Sebutkan bentuk dan penggolongan SIM yang diatur Undang-undang lau Lintas dan Angkutan Jalan ?, a. SIM A berlaku untuk untuk mengemudikan mobil penumpang dan barang perseorangan . b. SIM B I berlaku untuk mengemudikan penumpang dan barang perseorangan. c. SIM B II berlaku untuk mengemudikan kendaraan alat berat d. SIM C berlaku untuk mengemudikan sepeda motor e. SIM D berlaku untuk mengemudikan kendaraan khusus bagi penyandang cacat. 
 Untuk mendapatkan SIM setiap orang harus memenuhi persyaratan usia Sebutkan syarat usia untuk masing-masing SIM tersebut ?, a. Usia 17 (tujuh belas) tahun untuk SIM A b. Usia 20 (dua puluh) tahun untuk SIM B I dan c. Usia 21 (dua puluh satu) tahun untuk SIM B II 
 Dalam syarat untuk mendapatkan SIM harus lulus ujian. Meliputi apa saja ujian untuk mendapatkan SIM tersebut?, a. Ujian teori b. Ujian praktik dan / atau c. Ujian ketrampilan melalui simulator. 
  Setiap orang yang mengajukan permohonan untuk dapat memiliki Surat Izin Mengemudi untuk Kendaraan Bermotor Umum harus memenuhi persyaratan usia dan persyaratan khusus. Sebutkan syarat usia untuk mendapatkan Surat Izin Mengemudi Kendaraan Bermotor Umum?, a. minimal berusia 20 (dua puluh) tahun untuk Surat Izin Mengemudi A Umum b. minimal berusia 22 (dua puluh dua) tahun untuk Surat Izin Mengemudi B I Umum dan c. minimal berusia 23 (dua puluh tiga) tahun untuk Surat Izin Mengemudi B II Umum. 
 Surat Izin Mengemudi berlaku selama 5 (lima) tahun dan dapat diperpanjang. Apakah Surat Izin Mengemudi itu berlaku di seluruh wilayah Negara Kesatuan Republik Indonesia?, Ya 
 Surat Izin Mengemudi berfungsi sebagai bukti kompetensi mengemudi dan registrasi pengemudi kendaraan bermotor yang memuat keterangan identitas lengkap Pengemudi. Data pada registrasi Pengemudi dapat digunakan untuk apa saja?, Mendukung kegiatan penyelidikan 
 Kepolisian Negara Republik Indonesia berwenang memberikan tanda atau data pelanggaran terhadap Surat Izin Mengemudi milik Pengemudi yang melakukan pelanggaran tindak pidana Lalu Lintas. Apakah Kepolisian Negara Republik Indonesia berwenang untuk mencabut SIM sementara sebelum diputus oleh pengadilan?," Ya, Kepolisian Negara Republik Indonesia	berwenang untuk menahan sementara atau mencabut Surat Izin Mengemudi sementara sebelum diputus oleh pengadilan. "
 Setiap Perusahaan Angkutan Umum wajib mematuhi dan memberlakukan ketentuan mengenai waktu kerja Berapa waktu kerja paling lama bagi Pengemudi Kendaraan Bermotor Umum dalam sehari?, 8 (delapan) jam sehari. 
 Setiap Perusahaan Angkutan Umum yang tidak mematuhi dan memberlakukan ketentuan mengenai waktu kerja Sanksi administratifnya berupa apa saja?, a. peringatan tertulis b. pemberian denda administratif c. pembekuan izin dan/atau d. pencabutan izin. 
  Manajemen dan Rekayasa Lalu Lintas dilaksanakan untuk mengoptimalkan penggunaan jaringan Jalan dan gerakan Lalu Lintas dalam rangka menjamin Keamanan Manajemen dan Rekayasa Lalu Lintas dapat dilakukan dengan apa saja?," a. penetapan prioritas angkutan massal melalui penyediaan lajur atau jalur atau jalan khusus b. pemberian prioritas keselamatan dan kenyamanan Pejalan Kaki c. pemberian kemudahan bagi penyandang cacat d. pemisahan atau pemilahan pergerakan arus Lalu Lintas berdasarkan peruntukan lahan, mobilitas, dan aksesibilitas e. pemaduan berbagai moda angkutan f. pengendalian Lalu Lintas pada persimpangan g. pengendalian Lalu Lintas pada ruas Jalan dan/atau h. perlindungan terhadap lingkungan. "
 Setiap rencana pembangunan pusat kegiatan Analisis dampak Lalu Lintas sekurang-kurangnya memuat apa saja?, a. analisis bangkitan dan tarikan Lalu Lintas dan Angkutan Jalan b. simulasi kinerja Lalu Lintas tanpa dan dengan adanya pengembangan c. rekomendasi dan rencana implementasi penanganan dampak d. tanggung jawab Pemerintah dan pengembang atau pembangun dalam penanganan dampak dan e. rencana pemantauan dan evaluasi. 
 Dalam keadaan tertentu untuk Ketertiban dan Kelancaran Lalu Lintas dan Angkutan Jalan a. memberhentikan arus Lalu Lintas dan/atau Pengguna Jalan b. memerintahkan Pengguna Jalan untuk jalan terus c. mempercepat arus Lalu Lintas d. memperlambat arus Lalu Lintas dan/atau e. mengalihkan arah arus Lalu Lintas. Apakah pengguna jalan wajib mematuhi perintah yang diberikan oleh petugas Kepolisian Negara Republik Indonesia tersebut?, Ya 
 Setiap orang yang menggunakan Jalan wajib: a. berperilaku tertib dan/atau b. mencegah hal-hal yang dapat merintangi Oleh karena itu setiap orang yang mengemudikan Kendaraan Bermotor di Jalan wajib mematuhi ketentuan mengenai apa saja?, a. rambu perintah atau rambu larangan b. Marka Jalan c. Alat Pemberi Isyarat Lalu Lintas d. gerakan Lalu Lintas e. berhenti dan Parkir f. peringatan dengan bunyi dan sinar g. kecepatan maksimal atau minimal dan/atau  h. tata cara penggandengan dan penempelan dengan Kendaraan lain. 
 Polisi sering melakukan razia terhadap kendaraan bermotor. Pada saat diadakan pemeriksaan Kendaraan Bermotor di Jalan, a. Surat Tanda Nomor Kendaraan Bermotor atau Surat Tanda Coba Kendaraan Bermotor b. Surat Izin Mengemudi c. bukti lulus uji berkala dan/atau d. tanda bukti lain yang sah. 
 Dalam melaksanakan ketertiban dan keselamatan berkendaraan bermotor terdapat beberapa hal baru yang diatur. Sebutkan beberapa hal baru yang wajib dilaksanakan oleh setiap pengemudi sepeda motor ? ,  Mengenakan helm yang memenuhi Standar Nasional Indonesia dan menyalakan lampu utama pada siang hari.  
 Dalam berlalu lintas Pengguna Jalan harus menggunakan jalur Jalan sebelah kiri. Penggunaan jalur Jalan sebelah kanan hanya dapat dilakukan dalam kondisi yang bagaimana?, 1. Pengemudi bermaksud akan melewati Kendaraan di depannya atau 2. diperintahkan oleh petugas Kepolisian Negara Republik Indonesia untuk digunakan sementara sebagai jalur kiri. 
 Pada perlintasan sebidang antara jalur kereta api dan jalan Sebutkan kewajiban yang harus dilakukan pengemudi tersebut ?," a. Berhenti ketika sinyal sudah berbunyi, palang pintu kereta api sudah mulai ditutup, dan/ atau ada isyarat lain b. Mendahulukan kereta api dan c. Memberikan hak utama kepada kendaraan yang lebih dahulu melintasi rel. "
 Pengemudi kendaraan bermotor di jalan dilarang melakukan hal-hal yang ditetapkan dalam Undang-undang Lalu Lintas dan Angkutan Jalan. Sebutkan haapa sajal yang dilarang terkait dengan kecepatan kendaraan bermotor ?, a. Mengemudikan kendaraan melebihi batas kecepatan paling tinggi yang diperbolehkan dan/atau b. Berbalapan dengan kendaraan bermotor lain. 
 Pengemudi harus memperlambat kendaraannya sesuai dengan Rambu Lalu Lintas. Selain berdasarkan Rambu Lalu Lintas,"  1. akan melewati Kendaraan Bermotor Umum yang sedang menurunkan dan menaikkan Penumpang 2. akan melewati Kendaraan Tidak Bermotor yang ditarik oleh hewan, hewan yang ditunggangi, atau hewan yang digiring 3. cuaca hujan dan/atau genangan air 4. memasuki pusat kegiatan masyarakat yang belum dinyatakan dengan Rambu Lalu Lintas 5. mendekati persimpangan atau perlintasan sebidang kereta api dan/atau 6. melihat dan mengetahui ada Pejalan Kaki yang akan menyeberang. "
" Ketika	parkir	kendaraan,	pengemudi	harus	memarkirkan	kendaraan	sesuai	aturan perparkiran. Sebutkan cara memarkir kendaraan di jalan ? ",  Parkir kendaraan di jalan dilakukan secara sejajar atau membentuk sudut menurut arah Lalu lintas.  
 Dalam keadaan darurat di jalan setiap pengemudi kendaraan bermotor juga mempunyai kewajiban saat memarkir kendaraannya. Kewajiban apa sajakah yang harus dilakukan pengemudijika berhenti dalam keadaan darurat?,  Wajib memasang segitiga pengaman 
" Pengemudi Kendaraan Bermotor Umum untuk angkutan orang dalam trayek wajib: 1. mengangkut Penumpang yang membayar sesuai dengan tarif yang telah ditetapkan 2. memindahkan penumpang dalam perjalanan ke Kendaraan lain yang sejenis dalam trayek yang sama tanpa dipungut biaya tambahan jika Kendaraan mogok, rusak, kecelakaan, atau atas perintah petugas 3. menggunakan lajur Jalan yang telah ditentukan atau menggunakan lajur paling kiri, kecuali saat akan mendahului atau mengubah arah 4. memberhentikan kendaraan selama menaikkan dan/atau menurunkan Penumpang 5. menutup pintu selama Kendaraan berjalan dan 6. mematuhi batas kecepatan paling tinggi untuk angkutan umum. Tetapi terdapat larangan yang wajib dipatuhi oleh Pengemudi Kendaraan Bermotor Umum angkutan orang", a. memberhentikan Kendaraan selain di tempat yang telah ditentukan b. mengetem selain di tempat yang telah ditentukan c. menurunkan Penumpang selain di tempat pemberhentian dan/atau di tempat tujuan tanpa alasan yang patut dan mendesak dan/atau d. melewati jaringan jalan selain yang ditentukan dalam izin trayek. 
 UULAJ juga mengatur tentang hak dan kewajiban pejalan kaki. Pejalan kaki berhak atas ketersediaan fasilitas pendukung dalam berlalu lintas.  Sebutkan hak yang disediakan untuk pejalan kaki ? ,  Trotoar  
